Rondônia;Brazil;1;1;1;1;1;1;1
Acre;Brazil
Amazonas;Brazil;1;1;1;1;1;1;3;3;3;7;12;14;19
Roraima;Brazil;1;1;1
Pará;Brazil;1;1;1;1;1;3
Amapá;Brazil;1;2;2
Tocantins;Brazil
Maranhão;Brazil;1;1;1;1;1;1;2;2
Piauí;Brazil;1;1;3;4;4;4;4;4;4;4
Ceará;Brazil;3;3;4;5;5;7;8;20;22;22;26;29
Rio Grande do Norte;Brazil;1;1;1;2;2;4;5;7;7
Paraíba;Brazil;1;1;1;2;4;4
Pernambuco;Brazil;1;3;4;5;5;6;6;8;9;10;14;21;30
Alagoas;Brazil;1;1;1;2;2;2;2
Sergipe;Brazil;2;2;2;3;4
Bahia;Brazil;1;1;2;2;3;5;7;9;10
Minas Gerais;Brazil;1;2;3;4;6;6;6;9
Espírito Santo;Brazil;1;4;5;6;6
Rio de Janeiro;Brazil;2;2;3;3;4;6;6;9;10;13;17;18;23;28;41;47;58;64;71
São Paulo;Brazil;1;4;4;9;15;22;30;40;48;58;68;84;98;113;136;164;188;219;260;275;304
Paraná;Brazil;2;2;2;3;3;3;4;4;6;9;11
Santa Catarina;Brazil;1;1;1;1;1;2;2;2;5;5;10;10
Rio Grande do Sul;Brazil;1;1;2;2;2;3;4;4;5;5;6;7;7
Mato Grosso do Sul;Brazil;1;1;1;1;1;1;1
Mato Grosso;Brazil;1;1;1;1
Goiás;Brazil;1;1;1;1;1;1;1;1;2;2;3;5
Distrito Federal;Brazil;1;1;3;3;4;5;7;7;10
